SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
西屯,臺中市,68,細懸浮微粒,普通,2,0.2,0.2,59.3,29,35,22,5.9,7.5,1.5,3.6,350,2021/09/26 11:00:00,22,42,1,120.616917,24.162197,32
彰化,彰化縣,57,細懸浮微粒,普通,1.5,0.21,0.2,65.4,29,36,16,6,6.8,0.8,2.1,334,2021/09/26 11:00:00,17,34,1,120.541519,24.066,33
線西,彰化縣,70,細懸浮微粒,普通,2.9,0.25,0.3,57.5,27,50,24,5.1,6.2,1,4.2,8,2021/09/26 11:00:00,23,50,3,120.469061,24.131672,34
二林,彰化縣,55,懸浮微粒,普通,2.4,0.25,0.3,59.9,25,45,,3,4.1,1.1,1.2,307,2021/09/26 11:00:00,,55,3,120.409653,23.925175,35
南投,南投縣,57,細懸浮微粒,普通,2.6,0.18,0.2,51.6,27,21,15,4.5,5.4,0.9,1.9,47,2021/09/26 11:00:00,17,28,2,120.685306,23.913,36
斗六,雲林縣,68,細懸浮微粒,普通,2,0.28,0.2,58.8,32,34,19,4.2,5.9,1.6,1.9,295,2021/09/26 11:00:00,22,41,2,120.544994,23.711853,37
崙背,雲林縣,77,細懸浮微粒,普通,2.3,0.25,0.2,58.5,26,49,31,8.5,10,1.5,1.3,250,2021/09/26 11:00:00,26,49,2,120.348742,23.757547,38
新港,嘉義縣,69,細懸浮微粒,普通,2.7,0.22,0.2,52.1,27,41,20,5,6.1,1,1.2,138,2021/09/26 11:00:00,22,43,2,120.345531,23.554839,39
朴子,嘉義縣,63,細懸浮微粒,普通,1.2,0.3,0.3,62,36,52,23,4.6,6.3,1.6,1.9,251,2021/09/26 11:00:00,20,54,1,120.24781111,23.46712222,40
臺西,雲林縣,67,細懸浮微粒,普通,3.4,0.28,0.2,65.5,34,58,24,6,6.2,0.2,2.7,304,2021/09/26 11:00:00,22,50,2,120.19933333,23.702175,41
嘉義,嘉義市,68,細懸浮微粒,普通,1.8,0.18,0.2,49.1,29,32,17,2.8,3.8,0.9,1,113,2021/09/26 11:00:00,22,35,2,120.44083333,23.462778,42
新營,臺南市,63,細懸浮微粒,普通,2.4,0.25,0.2,57.8,33,37,18,4.6,5.4,0.8,1.8,182,2021/09/26 11:00:00,20,36,1,120.31725,23.305633,43
善化,臺南市,47,,良好,1,0.2,0.1,,,27,15,3,4.3,1.2,2.2,136,2021/09/26 11:00:00,14,23,1,120.297142,23.115097,44
安南,臺南市,51,細懸浮微粒,普通,2.2,0.27,0.3,61.5,32,42,21,4.8,4.4,0,2.8,312,2021/09/26 11:00:00,15,33,1,120.2175,23.048197,45
臺南,臺南市,56,細懸浮微粒,普通,1.4,0.26,0.2,65.3,37,43,22,4.5,5.3,0.7,2.7,269,2021/09/26 11:00:00,17,34,1,120.202617,22.984581,46
美濃,高雄市,41,,良好,1.4,0.21,0.2,44.8,20,24,13,1.7,2.3,0.6,1.1,247,2021/09/26 11:00:00,12,27,1,120.530542,22.883583,47
橋頭,高雄市,53,細懸浮微粒,普通,2.2,0.25,0.2,61.3,25,38,24,7.2,7.7,0.5,2.4,244,2021/09/26 11:00:00,16,31,1,120.305689,22.757506,48
仁武,高雄市,55,細懸浮微粒,普通,2.5,0.28,0.2,60.6,30,35,22,6.6,8.3,1.7,0.3,291,2021/09/26 11:00:00,17,27,2,120.332631,22.689056,49
鳳山,高雄市,61,細懸浮微粒,普通,4,0.56,0.3,62.6,27,34,23,14.1,15.8,1.7,1,227,2021/09/26 11:00:00,19,27,1,120.358083,22.627392,50
